cell	bio_celltype
5024	Vip
604	Vip
5458	Sst
4904	Lamp5
2016	Vip
5940	L4/5 IT CTX
670	Vip
3088	L5 NP CTX
3677	Sst
4386	Vip
717	Sst
431	Vip
3386	Sst
2751	Vip
5493	Vip
2152	Sst
694	Lamp5
4324	Vip
457	Vip
2766	Lamp5
1972	Vip
513	Sst
6008	Sst
5933	Lamp5
2237	Sst
550	Sst
3862	Vip
2196	L2/3 IT CTX-1
4123	L6b CTX
6188	Vip
4895	L4/5 IT CTX
678	L5 NP CTX
1796	L2/3 IT CTX-1
837	Vip
6743	Vip
5647	Vip
3911	L6 IT CTX
4612	L2/3 IT CTX-1
3487	L6 IT CTX
41	Vip
2750	Vip
3859	L5 PT CTX
5898	Vip
1518	L6b CTX
3910	L6 IT CTX
7835	L6b CTX
3380	L2/3 IT CTX-1
3664	L4/5 IT CTX
5768	Vip
1085	Vip
2051	L4/5 IT CTX
3747	L4/5 IT CTX
221	L2/3 IT CTX-1
5699	L2/3 IT CTX-1
312	L4/5 IT CTX
4350	L4/5 IT CTX
3316	Vip
805	Vip
4319	L6 IT CTX
2714	Vip
2226	Vip
4348	L6 IT CTX
3168	L6b CTX
3888	L5 IT CTX
4681	L6b CTX
3412	L4/5 IT CTX
189	L2/3 IT CTX-1
1402	Vip
7068	Vip
3352	Vip
4769	Vip
4346	L6 IT CTX
1403	Vip
4723	L2/3 IT CTX-1
5204	Vip
2338	Vip
1033	Vip
5119	L6 IT CTX
3208	Vip
5824	L2/3 IT CTX-1
4950	L5 NP CTX
5531	Vip
2702	Vip
5040	L6b CTX
3242	Vip
558	Vip
3604	Vip
5567	Vip
4691	L2/3 IT CTX-1
5663	L2/3 IT CTX-1
1522	L6b CTX
3191	L6b CTX
2001	Vip
7822	L6b CTX
1636	Vip
1	Vip
3083	L6b CTX
37	Vip
2733	Vip
4920	L4/5 IT CTX
5506	L6 IT CTX
665	Vip
2471	Vip
1250	Vip
5146	L2/3 IT CTX-1
7075	Vip
2218	L6 IT CTX
2601	L6 CT CTX
293	L6b CTX
781	Vip
4661	Vip
1198	L6b CTX
7073	Vip
4849	L2/3 IT CTX-1
1831	L2/3 IT CTX-1
203	L2/3 IT CTX-1
5685	L2/3 IT CTX-1
4847	L5 IT CTX
585	Vip
6314	L6 CT CTX
4934	L2/3 IT CTX-1
6113	L6 IT CTX
44	L2/3 IT CTX-1
3528	L2/3 IT CTX-1
3079	L6b CTX
4296	Vip
3670	Vip
1621	Vip
7663	Vip
4916	L6 IT CTX
6248	Vip
275	L2/3 IT CTX-1
87	L4/5 IT CTX
5007	Vip
3367	L2/3 IT CTX-1
298	L2/3 IT CTX-1
5020	Lamp5
5238	L5 IT CTX
1020	L6b CTX
7089	L4/5 IT CTX
5573	Vip
1048	L6b CTX
268	Vip
258	Vip
4830	Vip
5818	L5 NP CTX
2295	L5 NP CTX
2570	L6 CT CTX
899	L6 CT CTX
1591	Vip
6525	Lamp5
5449	L5 IT CTX
4414	Sst
4347	L6 IT CTX
1596	L2/3 IT CTX-1
137	L4/5 IT CTX
914	L6 CT CTX
2580	L6b CTX
4668	Vip
6524	Vip
2577	L6b CTX
202	Sst
5232	L6 CT CTX
2291	Sst
1435	L6b CTX
2469	L5 NP CTX
969	Vip
1713	Vip
6522	L5 IT CTX
1574	Vip
2563	L5 NP CTX
3092	L5 NP CTX
232	L2/3 IT CTX-1
379	L2/3 IT CTX-1
3398	Vip
2517	Vip
2294	L6b CTX
255	Vip
4629	Vip
5763	L5 PT CTX
4376	Vip
5608	Vip
6734	L5 NP CTX
3018	L6b CTX
4071	L6 CT CTX
6471	L6b CTX
1679	L2/3 IT CTX-1
1864	L2/3 IT CTX-1
1667	L2/3 IT CTX-1
6766	Sst
2219	L6 CT CTX
1531	L5 NP CTX
5340	L6 CT CTX
6083	Vip
2163	L5 NP CTX
214	L5 PT CTX
847	Vip
35	L2/3 IT CTX-1
227	L2/3 IT CTX-1
6249	Vip
174	Vip
3957	Sst
96	L4/5 IT CTX
3599	Vip
57	Sst
4002	Vip
2791	Sst
1042	Vip
963	Vip
4021	L6 CT CTX
4046	Vip
226	L6b CTX
4167	Vip
1782	Vip
2538	L6b CTX
1026	Vip
5785	L5 NP CTX
305	L2/3 IT CTX-1
1147	L6b CTX
276	Vip
5278	Vip
943	L5 NP CTX
3961	L5 NP CTX
4096	L6b CTX
1333	L6b CTX
2243	Vip
1433	Vip
688	L5 PT CTX
5960	Vip
1584	L2/3 IT CTX-1
362	L4/5 IT CTX
6299	L6b CTX
422	Vip
1856	Vip
5019	Vip
1298	Sst
43	Vip
251	Vip
315	L2/3 IT CTX-1
6521	Lamp5
36	L2/3 IT CTX-1
5279	Vip
39	L2/3 IT CTX-1
5318	L6b CTX
2181	Vip
1247	Sst
5234	Vip
188	Vip
1324	Vip
5787	L5 NP CTX
5786	L5 NP CTX
63	Vip
6108	L2/3 IT CTX-1
1572	Vip
3981	Vip
2642	Sst
1920	Vip
2245	Vip
3960	L6b CTX
1751	Vip
131	L5 PT CTX
1452	Sst
846	L5 NP CTX
224	L2/3 IT CTX-1
285	L2/3 IT CTX-1
356	L5 PT CTX
5653	Vip
4215	Vip
6303	L6 CT CTX
3384	Vip
2262	Vip
6330	Vip
7331	L6 IT CTX
6308	L6 IT CTX
6171	L6 IT CTX
6185	L6 IT CTX
4811	L4/5 IT CTX
7336	L6 IT CTX
4138	L6 IT CTX
3972	L6 IT CTX
5186	L6 IT CTX
4785	L2/3 IT CTX-1
4718	Lamp5
3480	L2/3 IT CTX-1
2463	L6 IT CTX
5214	L6 IT CTX
1897	L4/5 IT CTX
2328	L6 IT CTX
6199	L6 IT CTX
5038	L6 IT CTX
5294	L6 IT CTX
4787	L2/3 IT CTX-1
863	L6 IT CTX
5260	Sst
5259	L6 IT CTX
6233	L6 IT CTX
5123	Sst
3853	L6 IT CTX
5169	L2/3 IT CTX-1
5920	L6 IT CTX
6721	L2/3 IT CTX-1
3449	L2/3 IT CTX-1
4614	L6 IT CTX
3978	L6 IT CTX
5714	L6 IT CTX
2320	L6 IT CTX
3436	L2/3 IT CTX-1
3931	L4/5 IT CTX
6325	L6 IT CTX
5200	L6 IT CTX
5282	L6 IT CTX
3849	L6 IT CTX
819	L6 IT CTX
3377	L2/3 IT CTX-1
4007	L6 IT CTX
5249	L6 IT CTX
6230	Sst
827	L6 IT CTX
4003	L6 IT CTX
5150	L6 IT CTX
6499	L2/3 IT CTX-1
6252	L6 IT CTX
2500	L6 IT CTX
6048	L6 IT CTX
3766	Sst
6021	L6 IT CTX
4601	L2/3 IT CTX-1
5250	Sst
6492	L6 IT CTX
3431	L2/3 IT CTX-1
3565	L4/5 IT CTX
3572	L2/3 IT CTX-1
5712	Lamp5
4578	L6 IT CTX
7640	L6 IT CTX
3847	L6 IT CTX
1904	L2/3 IT CTX-1
2312	L6 IT CTX
2433	L6 IT CTX
2105	Sst
2306	L6 IT CTX
5805	L2/3 IT CTX-1
5697	L2/3 IT CTX-1
4148	L6 IT CTX
7039	L6 IT CTX
3506	L2/3 IT CTX-1
6204	L6 IT CTX
6324	L6 IT CTX
5177	L4/5 IT CTX
4803	L2/3 IT CTX-1
5080	L4/5 IT CTX
3520	L2/3 IT CTX-1
2227	L6 IT CTX
5813	L6b CTX
4369	L6 IT CTX
4553	L2/3 IT CTX-1
6442	L6 IT CTX
6229	L6 IT CTX
6135	L2/3 IT CTX-1
2404	L6 IT CTX
5263	L6 IT CTX
6729	L6b CTX
3992	L6 IT CTX
6351	L6 IT CTX
5189	L6 IT CTX
5702	L2/3 IT CTX-1
2297	L6 IT CTX
4910	L4/5 IT CTX
5284	L6 IT CTX
7062	L2/3 IT CTX-1
5746	L2/3 IT CTX-1
4754	L2/3 IT CTX-1
5830	L2/3 IT CTX-1
5781	L2/3 IT CTX-1
5651	L2/3 IT CTX-1
4658	L2/3 IT CTX-1
5705	L2/3 IT CTX-1
1606	L2/3 IT CTX-1
1879	L2/3 IT CTX-1
1878	L2/3 IT CTX-1
1877	L4/5 IT CTX
4770	L2/3 IT CTX-1
3512	L2/3 IT CTX-1
2113	L4/5 IT CTX
1750	L2/3 IT CTX-1
1666	L2/3 IT CTX-1
3503	L2/3 IT CTX-1
4821	L5 IT CTX
3700	L4/5 IT CTX
5666	L2/3 IT CTX-1
6044	L2/3 IT CTX-1
3339	L2/3 IT CTX-1
5829	L2/3 IT CTX-1
5662	L2/3 IT CTX-1
1841	L6 IT CTX
4587	L2/3 IT CTX-1
365	L4/5 IT CTX
5639	L2/3 IT CTX-1
3539	L6 IT CTX
6713	L6b CTX
5690	L2/3 IT CTX-1
3639	L6 IT CTX
4665	L2/3 IT CTX-1
4711	L2/3 IT CTX-1
1632	L2/3 IT CTX-1
4671	L2/3 IT CTX-1
4793	L2/3 IT CTX-1
5640	L2/3 IT CTX-1
1612	L2/3 IT CTX-1
3546	L2/3 IT CTX-1
5706	L2/3 IT CTX-1
5691	L2/3 IT CTX-1
4570	L2/3 IT CTX-1
3554	L2/3 IT CTX-1
1855	L2/3 IT CTX-1
5700	L2/3 IT CTX-1
5797	L6b CTX
4640	L2/3 IT CTX-1
4649	L2/3 IT CTX-1
6762	L2/3 IT CTX-1
5837	L2/3 IT CTX-1
5726	L2/3 IT CTX-1
4710	L4/5 IT CTX
3587	L2/3 IT CTX-1
3537	L2/3 IT CTX-1
3516	L5 NP CTX
5755	L2/3 IT CTX-1
3545	L4/5 IT CTX
3488	L2/3 IT CTX-1
4759	L2/3 IT CTX-1
4607	L6 CT CTX
4862	L2/3 IT CTX-1
5704	L2/3 IT CTX-1
4792	L2/3 IT CTX-1
4581	L2/3 IT CTX-1
4648	L2/3 IT CTX-1
3486	L6 IT CTX
5803	L2/3 IT CTX-1
1660	L2/3 IT CTX-1
3547	L2/3 IT CTX-1
1615	L2/3 IT CTX-1
6714	L2/3 IT CTX-1
3586	L2/3 IT CTX-1
3438	L2/3 IT CTX-1
3432	L2/3 IT CTX-1
3643	L2/3 IT CTX-1
5909	L4/5 IT CTX
5848	L2/3 IT CTX-1
3360	L2/3 IT CTX-1
3468	L2/3 IT CTX-1
4576	L2/3 IT CTX-1
4873	L2/3 IT CTX-1
4700	L2/3 IT CTX-1
3754	L2/3 IT CTX-1
4756	L2/3 IT CTX-1
3481	L2/3 IT CTX-1
6717	L2/3 IT CTX-1
5676	L2/3 IT CTX-1
1696	L2/3 IT CTX-1
5737	L2/3 IT CTX-1
5822	L2/3 IT CTX-1
4799	L2/3 IT CTX-1
3508	L5 IT CTX
5637	L2/3 IT CTX-1
5695	L2/3 IT CTX-1
3482	L2/3 IT CTX-1
6738	L2/3 IT CTX-1
1608	L2/3 IT CTX-1
4868	L2/3 IT CTX-1
4758	L2/3 IT CTX-1
4560	L2/3 IT CTX-1
5635	L2/3 IT CTX-1
5788	L2/3 IT CTX-1
1670	L2/3 IT CTX-1
6736	L6 IT CTX
3510	L2/3 IT CTX-1
4704	L2/3 IT CTX-1
5798	L2/3 IT CTX-1
4734	L2/3 IT CTX-1
5728	L6 IT CTX
5732	L2/3 IT CTX-1
6723	L2/3 IT CTX-1
1724	L2/3 IT CTX-1
5686	L2/3 IT CTX-1
4688	L6 IT CTX
5789	L2/3 IT CTX-1
4654	L2/3 IT CTX-1
4685	L2/3 IT CTX-1
4669	L2/3 IT CTX-1
4580	L2/3 IT CTX-1
3362	L2/3 IT CTX-1
4637	L2/3 IT CTX-1
4651	L2/3 IT CTX-1
4680	L4/5 IT CTX
5927	L5 IT CTX
4595	L2/3 IT CTX-1
3802	L4/5 IT CTX
6740	L2/3 IT CTX-1
4675	L2/3 IT CTX-1
1722	L2/3 IT CTX-1
3581	L2/3 IT CTX-1
1662	L2/3 IT CTX-1
3396	L2/3 IT CTX-1
1811	L2/3 IT CTX-1
4684	L2/3 IT CTX-1
1654	L2/3 IT CTX-1
6017	L4/5 IT CTX
4647	L6 IT CTX
5776	L2/3 IT CTX-1
4788	L2/3 IT CTX-1
3420	L2/3 IT CTX-1
3580	L2/3 IT CTX-1
5780	L2/3 IT CTX-1
3433	L2/3 IT CTX-1
5731	L2/3 IT CTX-1
1657	L2/3 IT CTX-1
5689	L2/3 IT CTX-1
3674	L2/3 IT CTX-1
3472	L2/3 IT CTX-1
3521	L2/3 IT CTX-1
1656	L2/3 IT CTX-1
3522	L2/3 IT CTX-1
1886	L2/3 IT CTX-1
3541	L2/3 IT CTX-1
6255	L6 IT CTX
4618	L2/3 IT CTX-1
4679	L5 NP CTX
3649	L2/3 IT CTX-1
5733	L2/3 IT CTX-1
2232	L6 IT CTX
5644	L2/3 IT CTX-1
6719	L2/3 IT CTX-1
5782	L2/3 IT CTX-1
3627	L5 IT CTX
5820	L6 IT CTX
4765	L2/3 IT CTX-1
3370	L2/3 IT CTX-1
4584	L2/3 IT CTX-1
3774	L4/5 IT CTX
4689	L2/3 IT CTX-1
4764	L2/3 IT CTX-1
4755	L2/3 IT CTX-1
5843	L2/3 IT CTX-1
3632	L2/3 IT CTX-1
3428	L2/3 IT CTX-1
6007	L5 IT CTX
3366	L2/3 IT CTX-1
4854	L2/3 IT CTX-1
4594	L2/3 IT CTX-1
4766	L5 IT CTX
3464	L2/3 IT CTX-1
3426	L2/3 IT CTX-1
4855	L2/3 IT CTX-1
5817	L2/3 IT CTX-1
1611	L2/3 IT CTX-1
5801	L2/3 IT CTX-1
4626	L2/3 IT CTX-1
1634	L2/3 IT CTX-1
3728	L2/3 IT CTX-1
6733	L2/3 IT CTX-1
5722	L2/3 IT CTX-1
4728	L2/3 IT CTX-1
5778	L2/3 IT CTX-1
1665	L2/3 IT CTX-1
1617	L2/3 IT CTX-1
4600	L2/3 IT CTX-1
332	L2/3 IT CTX-1
3355	L6 IT CTX
2427	L6 IT CTX
5026	L2/3 IT CTX-1
3365	L2/3 IT CTX-1
3498	L4/5 IT CTX
4763	L2/3 IT CTX-1
5779	L2/3 IT CTX-1
4653	L2/3 IT CTX-1
3425	L2/3 IT CTX-1
4808	L4/5 IT CTX
3405	L2/3 IT CTX-1
3872	L2/3 IT CTX-1
4642	L5 NP CTX
245	L2/3 IT CTX-1
4569	L2/3 IT CTX-1
4988	L2/3 IT CTX-1
3860	L2/3 IT CTX-1
272	L2/3 IT CTX-1
1569	L2/3 IT CTX-1
71	L4/5 IT CTX
1663	L2/3 IT CTX-1
204	L5 PT CTX
5650	L2/3 IT CTX-1
1680	L2/3 IT CTX-1
274	L5 PT CTX
1785	L2/3 IT CTX-1
341	L2/3 IT CTX-1
3430	L2/3 IT CTX-1
5028	L5 PT CTX
3838	L5 PT CTX
4606	L2/3 IT CTX-1
6132	L5 PT CTX
749	L2/3 IT CTX-1
5073	L2/3 IT CTX-1
1720	L2/3 IT CTX-1
5206	L5 PT CTX
4712	L2/3 IT CTX-1
4620	L2/3 IT CTX-1
7346	L5 PT CTX
6085	L2/3 IT CTX-1
18	L2/3 IT CTX-1
4605	L2/3 IT CTX-1
7355	L5 PT CTX
3401	L4/5 IT CTX
2050	L2/3 IT CTX-1
6742	L2/3 IT CTX-1
2195	L5 PT CTX
3392	L2/3 IT CTX-1
250	L2/3 IT CTX-1
5809	L2/3 IT CTX-1
3308	L2/3 IT CTX-1
3505	L2/3 IT CTX-1
3322	L2/3 IT CTX-1
284	L2/3 IT CTX-1
3828	L2/3 IT CTX-1
7371	L5 NP CTX
62	L4/5 IT CTX
1813	L2/3 IT CTX-1
4619	L2/3 IT CTX-1
5745	L4/5 IT CTX
4912	L5 PT CTX
3820	L5 PT CTX
4699	L4/5 IT CTX
4694	L2/3 IT CTX-1
5039	L2/3 IT CTX-1
5892	L4/5 IT CTX
352	L4/5 IT CTX
4552	L2/3 IT CTX-1
5799	L2/3 IT CTX-1
2221	L5 PT CTX
6214	L5 PT CTX
259	L2/3 IT CTX-1
5736	L2/3 IT CTX-1
3866	L2/3 IT CTX-1
32	L2/3 IT CTX-1
3378	L2/3 IT CTX-1
3893	L5 PT CTX
6715	L2/3 IT CTX-1
257	L2/3 IT CTX-1
4643	L2/3 IT CTX-1
3465	L5 IT CTX
4571	L2/3 IT CTX-1
1593	L2/3 IT CTX-1
5221	L2/3 IT CTX-1
1706	L5 PT CTX
3552	L2/3 IT CTX-1
6110	L2/3 IT CTX-1
1652	L2/3 IT CTX-1
3936	L5 PT CTX
3876	L2/3 IT CTX-1
6725	L2/3 IT CTX-1
5199	Lamp5
3532	L2/3 IT CTX-1
3821	L5 PT CTX
3867	L2/3 IT CTX-1
4610	L6 IT CTX
3421	L2/3 IT CTX-1
4636	L5 NP CTX
6160	L5 PT CTX
2280	L5 PT CTX
6075	L6 CT CTX
2168	L2/3 IT CTX-1
735	L2/3 IT CTX-1
747	L2/3 IT CTX-1
3496	L2/3 IT CTX-1
306	L2/3 IT CTX-1
262	L2/3 IT CTX-1
7379	L5 PT CTX
5156	L2/3 IT CTX-1
314	L2/3 IT CTX-1
4925	L2/3 IT CTX-1
3752	L2/3 IT CTX-1
304	L4/5 IT CTX
4919	L5 NP CTX
6183	L2/3 IT CTX-1
1638	L2/3 IT CTX-1
225	L2/3 IT CTX-1
1594	L2/3 IT CTX-1
4659	L2/3 IT CTX-1
74	L2/3 IT CTX-1
5761	L2/3 IT CTX-1
4743	L2/3 IT CTX-1
3393	L2/3 IT CTX-1
436	L4/5 IT CTX
1637	L2/3 IT CTX-1
3830	Vip
6159	L5 PT CTX
1649	L2/3 IT CTX-1
299	L4/5 IT CTX
5645	L2/3 IT CTX-1
3357	L2/3 IT CTX-1
3600	L2/3 IT CTX-1
2130	L2/3 IT CTX-1
5741	L2/3 IT CTX-1
2158	L5 PT CTX
4633	L2/3 IT CTX-1
6107	L5 PT CTX
3328	L2/3 IT CTX-1
4131	L2/3 IT CTX-1
5759	L2/3 IT CTX-1
3469	L2/3 IT CTX-1
5721	L2/3 IT CTX-1
3878	L5 PT CTX
5134	L2/3 IT CTX-1
5990	L2/3 IT CTX-1
6133	L5 PT CTX
6190	L2/3 IT CTX-1
3624	L2/3 IT CTX-1
354	L2/3 IT CTX-1
1710	L2/3 IT CTX-1
3836	L2/3 IT CTX-1
1678	L2/3 IT CTX-1
4900	L2/3 IT CTX-1
5171	L6 CT CTX
3359	L2/3 IT CTX-1
20	L2/3 IT CTX-1
5658	L2/3 IT CTX-1
309	L4/5 IT CTX
1717	L2/3 IT CTX-1
3536	L4/5 IT CTX
5748	L2/3 IT CTX-1
222	L2/3 IT CTX-1
4949	L5 PT CTX
4695	L2/3 IT CTX-1
4757	L2/3 IT CTX-1
206	L2/3 IT CTX-1
3452	L2/3 IT CTX-1
3363	L2/3 IT CTX-1
247	L2/3 IT CTX-1
3454	L2/3 IT CTX-1
4985	L2/3 IT CTX-1
4639	L4/5 IT CTX
3727	L2/3 IT CTX-1
127	L4/5 IT CTX
6165	L5 IT CTX
4783	L2/3 IT CTX-1
3782	L5 PT CTX
7345	L5 PT CTX
3816	L5 PT CTX
5132	L5 PT CTX
5832	L2/3 IT CTX-1
4676	L4/5 IT CTX
313	L2/3 IT CTX-1
6102	L5 PT CTX
5668	L2/3 IT CTX-1
5764	L2/3 IT CTX-1
3808	L5 PT CTX
218	L2/3 IT CTX-1
1682	L2/3 IT CTX-1
271	L6b CTX
1820	L2/3 IT CTX-1
1644	L2/3 IT CTX-1
1732	L2/3 IT CTX-1
6056	L5 PT CTX
7351	L2/3 IT CTX-1
