cell	bio_celltype
cell_124	(3) Subepicardial cells
cell_125	(5) Smooth muscle cells/ fibroblast-like
cell_126	(5) Smooth muscle cells/ fibroblast-like
cell_127	(2) Fribroblast-like (AV mesenchyme related)
cell_128	(14) Cells related to cardiac neural crest
cell_129	(4) Fribroblast-like (coronary & mediastinal vasculature related)
cell_130	(3) Subepicardial cells
cell_131	(4) Fribroblast-like (coronary & mediastinal vasculature related)
cell_132	(3) Subepicardial cells
cell_134	(5) Smooth muscle cells/ fibroblast-like
cell_135	(5) Smooth muscle cells/ fibroblast-like
cell_137	(5) Smooth muscle cells/ fibroblast-like
cell_138	(5) Smooth muscle cells/ fibroblast-like
cell_139	(5) Smooth muscle cells/ fibroblast-like
cell_140	(2) Fribroblast-like (AV mesenchyme related)
cell_142	(5) Smooth muscle cells/ fibroblast-like
cell_143	(5) Smooth muscle cells/ fibroblast-like
cell_144	(2) Fribroblast-like (AV mesenchyme related)
cell_145	(2) Fribroblast-like (AV mesenchyme related)
cell_146	(2) Fribroblast-like (AV mesenchyme related)
cell_147	(2) Fribroblast-like (AV mesenchyme related)
cell_148	(8) Fibroblast-like (outflow tract & valve related)
cell_149	(3) Subepicardial cells
cell_150	(4) Fribroblast-like (coronary & mediastinal vasculature related)
cell_151	(10) Endothelium/ pericytes/ adventia
cell_152	(8) Fibroblast-like (outflow tract & valve related)
cell_153	(5) Smooth muscle cells/ fibroblast-like
cell_154	(4) Fribroblast-like (coronary & mediastinal vasculature related)
cell_155	(5) Smooth muscle cells/ fibroblast-like
cell_158	(8) Fibroblast-like (outflow tract & valve related)
cell_159	(3) Subepicardial cells
cell_160	(2) Fribroblast-like (AV mesenchyme related)
cell_161	(5) Smooth muscle cells/ fibroblast-like
cell_162	(5) Smooth muscle cells/ fibroblast-like
cell_163	(5) Smooth muscle cells/ fibroblast-like
cell_164	(5) Smooth muscle cells/ fibroblast-like
cell_165	(5) Smooth muscle cells/ fibroblast-like
cell_166	(0) Capillary endothelium
cell_168	(5) Smooth muscle cells/ fibroblast-like
cell_169	(2) Fribroblast-like (AV mesenchyme related)
cell_171	(5) Smooth muscle cells/ fibroblast-like
cell_172	(4) Fribroblast-like (coronary & mediastinal vasculature related)
cell_173	(2) Fribroblast-like (AV mesenchyme related)
cell_174	(5) Smooth muscle cells/ fibroblast-like
cell_175	(5) Smooth muscle cells/ fibroblast-like
cell_176	(5) Smooth muscle cells/ fibroblast-like
cell_177	(5) Smooth muscle cells/ fibroblast-like
cell_178	(3) Subepicardial cells
cell_180	(5) Smooth muscle cells/ fibroblast-like
cell_182	(5) Smooth muscle cells/ fibroblast-like
cell_183	(4) Fribroblast-like (coronary & mediastinal vasculature related)
cell_184	(5) Smooth muscle cells/ fibroblast-like
cell_185	(5) Smooth muscle cells/ fibroblast-like
cell_186	(5) Smooth muscle cells/ fibroblast-like
cell_187	(5) Smooth muscle cells/ fibroblast-like
cell_188	(5) Smooth muscle cells/ fibroblast-like
cell_189	(5) Smooth muscle cells/ fibroblast-like
cell_190	(5) Smooth muscle cells/ fibroblast-like
cell_191	(0) Capillary endothelium
cell_192	(3) Subepicardial cells
cell_193	(0) Capillary endothelium
cell_194	(5) Smooth muscle cells/ fibroblast-like
cell_195	(5) Smooth muscle cells/ fibroblast-like
cell_196	(2) Fribroblast-like (AV mesenchyme related)
cell_197	(4) Fribroblast-like (coronary & mediastinal vasculature related)
cell_199	(4) Fribroblast-like (coronary & mediastinal vasculature related)
cell_201	(5) Smooth muscle cells/ fibroblast-like
cell_202	(2) Fribroblast-like (AV mesenchyme related)
cell_203	(4) Fribroblast-like (coronary & mediastinal vasculature related)
cell_204	(2) Fribroblast-like (AV mesenchyme related)
cell_206	(5) Smooth muscle cells/ fibroblast-like
cell_207	(4) Fribroblast-like (coronary & mediastinal vasculature related)
cell_208	(5) Smooth muscle cells/ fibroblast-like
cell_209	(0) Capillary endothelium
cell_210	(5) Smooth muscle cells/ fibroblast-like
cell_212	(2) Fribroblast-like (AV mesenchyme related)
cell_213	(5) Smooth muscle cells/ fibroblast-like
cell_214	(3) Subepicardial cells
cell_215	(8) Fibroblast-like (outflow tract & valve related)
cell_216	(3) Subepicardial cells
cell_217	(5) Smooth muscle cells/ fibroblast-like
cell_218	(2) Fribroblast-like (AV mesenchyme related)
cell_219	(3) Subepicardial cells
cell_220	(4) Fribroblast-like (coronary & mediastinal vasculature related)
cell_221	(5) Smooth muscle cells/ fibroblast-like
cell_222	(3) Subepicardial cells
cell_223	(2) Fribroblast-like (AV mesenchyme related)
cell_224	(5) Smooth muscle cells/ fibroblast-like
cell_225	(5) Smooth muscle cells/ fibroblast-like
cell_226	(4) Fribroblast-like (coronary & mediastinal vasculature related)
cell_227	(3) Subepicardial cells
cell_228	(5) Smooth muscle cells/ fibroblast-like
cell_229	(2) Fribroblast-like (AV mesenchyme related)
cell_230	(10) Endothelium/ pericytes/ adventia
cell_231	(3) Subepicardial cells
cell_232	(4) Fribroblast-like (coronary & mediastinal vasculature related)
cell_234	(5) Smooth muscle cells/ fibroblast-like
cell_236	(8) Fibroblast-like (outflow tract & valve related)
cell_237	(5) Smooth muscle cells/ fibroblast-like
cell_238	(5) Smooth muscle cells/ fibroblast-like
cell_239	(5) Smooth muscle cells/ fibroblast-like
cell_240	(8) Fibroblast-like (outflow tract & valve related)
cell_241	(5) Smooth muscle cells/ fibroblast-like
cell_242	(5) Smooth muscle cells/ fibroblast-like
cell_243	(3) Subepicardial cells
cell_244	(0) Capillary endothelium
cell_245	(8) Fibroblast-like (outflow tract & valve related)
cell_246	(5) Smooth muscle cells/ fibroblast-like
cell_247	(5) Smooth muscle cells/ fibroblast-like
cell_248	(8) Fibroblast-like (outflow tract & valve related)
cell_249	(2) Fribroblast-like (AV mesenchyme related)
cell_250	(10) Endothelium/ pericytes/ adventia
cell_251	(14) Cells related to cardiac neural crest
cell_252	(5) Smooth muscle cells/ fibroblast-like
cell_253	(10) Endothelium/ pericytes/ adventia
cell_254	(3) Subepicardial cells
cell_255	(5) Smooth muscle cells/ fibroblast-like
cell_256	(4) Fribroblast-like (coronary & mediastinal vasculature related)
cell_257	(2) Fribroblast-like (AV mesenchyme related)
cell_258	(2) Fribroblast-like (AV mesenchyme related)
cell_259	(5) Smooth muscle cells/ fibroblast-like
cell_260	(5) Smooth muscle cells/ fibroblast-like
cell_261	(0) Capillary endothelium
cell_262	(5) Smooth muscle cells/ fibroblast-like
cell_263	(4) Fribroblast-like (coronary & mediastinal vasculature related)
cell_264	(5) Smooth muscle cells/ fibroblast-like
cell_265	(10) Endothelium/ pericytes/ adventia
cell_266	(5) Smooth muscle cells/ fibroblast-like
cell_267	(4) Fribroblast-like (coronary & mediastinal vasculature related)
cell_268	(5) Smooth muscle cells/ fibroblast-like
cell_269	(5) Smooth muscle cells/ fibroblast-like
cell_270	(5) Smooth muscle cells/ fibroblast-like
cell_271	(5) Smooth muscle cells/ fibroblast-like
cell_272	(5) Smooth muscle cells/ fibroblast-like
cell_273	(5) Smooth muscle cells/ fibroblast-like
cell_274	(5) Smooth muscle cells/ fibroblast-like
cell_275	(3) Subepicardial cells
cell_276	(3) Subepicardial cells
cell_277	(5) Smooth muscle cells/ fibroblast-like
cell_278	(3) Subepicardial cells
cell_279	(5) Smooth muscle cells/ fibroblast-like
cell_280	(3) Subepicardial cells
cell_281	(2) Fribroblast-like (AV mesenchyme related)
cell_282	(3) Subepicardial cells
cell_283	(5) Smooth muscle cells/ fibroblast-like
cell_284	(5) Smooth muscle cells/ fibroblast-like
cell_285	(5) Smooth muscle cells/ fibroblast-like
cell_286	(5) Smooth muscle cells/ fibroblast-like
cell_287	(3) Subepicardial cells
cell_288	(5) Smooth muscle cells/ fibroblast-like
cell_289	(3) Subepicardial cells
cell_290	(5) Smooth muscle cells/ fibroblast-like
cell_291	(5) Smooth muscle cells/ fibroblast-like
cell_292	(5) Smooth muscle cells/ fibroblast-like
cell_293	(5) Smooth muscle cells/ fibroblast-like
cell_294	(5) Smooth muscle cells/ fibroblast-like
cell_295	(5) Smooth muscle cells/ fibroblast-like
cell_296	(5) Smooth muscle cells/ fibroblast-like
cell_297	(4) Fribroblast-like (coronary & mediastinal vasculature related)
cell_298	(3) Subepicardial cells
cell_300	(5) Smooth muscle cells/ fibroblast-like
cell_301	(5) Smooth muscle cells/ fibroblast-like
cell_302	(5) Smooth muscle cells/ fibroblast-like
cell_303	(3) Subepicardial cells
cell_304	(5) Smooth muscle cells/ fibroblast-like
cell_305	(3) Subepicardial cells
cell_306	(2) Fribroblast-like (AV mesenchyme related)
cell_307	(5) Smooth muscle cells/ fibroblast-like
cell_308	(3) Subepicardial cells
cell_309	(5) Smooth muscle cells/ fibroblast-like
cell_311	(5) Smooth muscle cells/ fibroblast-like
cell_313	(3) Subepicardial cells
cell_314	(3) Subepicardial cells
cell_315	(2) Fribroblast-like (AV mesenchyme related)
cell_316	(5) Smooth muscle cells/ fibroblast-like
cell_317	(5) Smooth muscle cells/ fibroblast-like
cell_318	(5) Smooth muscle cells/ fibroblast-like
cell_319	(2) Fribroblast-like (AV mesenchyme related)
cell_320	(5) Smooth muscle cells/ fibroblast-like
cell_321	(3) Subepicardial cells
cell_323	(2) Fribroblast-like (AV mesenchyme related)
cell_324	(5) Smooth muscle cells/ fibroblast-like
cell_325	(5) Smooth muscle cells/ fibroblast-like
cell_326	(5) Smooth muscle cells/ fibroblast-like
cell_327	(3) Subepicardial cells
cell_328	(3) Subepicardial cells
cell_329	(2) Fribroblast-like (AV mesenchyme related)
cell_330	(5) Smooth muscle cells/ fibroblast-like
cell_331	(5) Smooth muscle cells/ fibroblast-like
cell_332	(5) Smooth muscle cells/ fibroblast-like
cell_333	(5) Smooth muscle cells/ fibroblast-like
cell_334	(5) Smooth muscle cells/ fibroblast-like
cell_335	(5) Smooth muscle cells/ fibroblast-like
cell_336	(5) Smooth muscle cells/ fibroblast-like
cell_337	(3) Subepicardial cells
cell_338	(5) Smooth muscle cells/ fibroblast-like
cell_339	(2) Fribroblast-like (AV mesenchyme related)
cell_340	(2) Fribroblast-like (AV mesenchyme related)
cell_341	(3) Subepicardial cells
cell_342	(2) Fribroblast-like (AV mesenchyme related)
cell_343	(5) Smooth muscle cells/ fibroblast-like
cell_345	(2) Fribroblast-like (AV mesenchyme related)
cell_347	(5) Smooth muscle cells/ fibroblast-like
cell_348	(5) Smooth muscle cells/ fibroblast-like
cell_349	(5) Smooth muscle cells/ fibroblast-like
cell_350	(5) Smooth muscle cells/ fibroblast-like
cell_351	(5) Smooth muscle cells/ fibroblast-like
cell_352	(3) Subepicardial cells
cell_353	(4) Fribroblast-like (coronary & mediastinal vasculature related)
cell_354	(5) Smooth muscle cells/ fibroblast-like
cell_355	(4) Fribroblast-like (coronary & mediastinal vasculature related)
cell_356	(5) Smooth muscle cells/ fibroblast-like
cell_357	(5) Smooth muscle cells/ fibroblast-like
cell_358	(3) Subepicardial cells
cell_359	(8) Fibroblast-like (outflow tract & valve related)
cell_360	(14) Cells related to cardiac neural crest
cell_361	(5) Smooth muscle cells/ fibroblast-like
cell_362	(8) Fibroblast-like (outflow tract & valve related)
cell_363	(2) Fribroblast-like (AV mesenchyme related)
cell_364	(5) Smooth muscle cells/ fibroblast-like
cell_365	(5) Smooth muscle cells/ fibroblast-like
cell_366	(5) Smooth muscle cells/ fibroblast-like
cell_367	(2) Fribroblast-like (AV mesenchyme related)
cell_368	(3) Subepicardial cells
cell_369	(5) Smooth muscle cells/ fibroblast-like
cell_370	(5) Smooth muscle cells/ fibroblast-like
cell_371	(5) Smooth muscle cells/ fibroblast-like
cell_372	(10) Endothelium/ pericytes/ adventia
cell_373	(4) Fribroblast-like (coronary & mediastinal vasculature related)
cell_374	(8) Fibroblast-like (outflow tract & valve related)
cell_375	(5) Smooth muscle cells/ fibroblast-like
cell_376	(5) Smooth muscle cells/ fibroblast-like
cell_377	(2) Fribroblast-like (AV mesenchyme related)
cell_378	(3) Subepicardial cells
cell_379	(8) Fibroblast-like (outflow tract & valve related)
cell_382	(3) Subepicardial cells
cell_383	(5) Smooth muscle cells/ fibroblast-like
cell_385	(2) Fribroblast-like (AV mesenchyme related)
cell_386	(2) Fribroblast-like (AV mesenchyme related)
cell_387	(10) Endothelium/ pericytes/ adventia
cell_388	(5) Smooth muscle cells/ fibroblast-like
cell_390	(5) Smooth muscle cells/ fibroblast-like
cell_391	(5) Smooth muscle cells/ fibroblast-like
cell_392	(3) Subepicardial cells
cell_393	(2) Fribroblast-like (AV mesenchyme related)
cell_394	(3) Subepicardial cells
cell_395	(5) Smooth muscle cells/ fibroblast-like
cell_396	(4) Fribroblast-like (coronary & mediastinal vasculature related)
cell_397	(4) Fribroblast-like (coronary & mediastinal vasculature related)
cell_398	(2) Fribroblast-like (AV mesenchyme related)
cell_399	(14) Cells related to cardiac neural crest
cell_400	(14) Cells related to cardiac neural crest
cell_401	(5) Smooth muscle cells/ fibroblast-like
cell_402	(14) Cells related to cardiac neural crest
cell_403	(4) Fribroblast-like (coronary & mediastinal vasculature related)
cell_404	(8) Fibroblast-like (outflow tract & valve related)
cell_405	(2) Fribroblast-like (AV mesenchyme related)
cell_406	(2) Fribroblast-like (AV mesenchyme related)
cell_407	(3) Subepicardial cells
cell_408	(5) Smooth muscle cells/ fibroblast-like
cell_409	(2) Fribroblast-like (AV mesenchyme related)
cell_410	(14) Cells related to cardiac neural crest
cell_411	(5) Smooth muscle cells/ fibroblast-like
cell_412	(5) Smooth muscle cells/ fibroblast-like
cell_413	(8) Fibroblast-like (outflow tract & valve related)
cell_415	(14) Cells related to cardiac neural crest
cell_416	(5) Smooth muscle cells/ fibroblast-like
cell_417	(4) Fribroblast-like (coronary & mediastinal vasculature related)
cell_418	(3) Subepicardial cells
cell_421	(14) Cells related to cardiac neural crest
cell_422	(3) Subepicardial cells
cell_423	(8) Fibroblast-like (outflow tract & valve related)
cell_424	(5) Smooth muscle cells/ fibroblast-like
cell_425	(5) Smooth muscle cells/ fibroblast-like
cell_426	(2) Fribroblast-like (AV mesenchyme related)
cell_428	(0) Capillary endothelium
cell_429	(2) Fribroblast-like (AV mesenchyme related)
cell_430	(8) Fibroblast-like (outflow tract & valve related)
cell_431	(3) Subepicardial cells
cell_432	(9) Epicardial cells
cell_433	(5) Smooth muscle cells/ fibroblast-like
cell_434	(5) Smooth muscle cells/ fibroblast-like
cell_435	(5) Smooth muscle cells/ fibroblast-like
cell_436	(8) Fibroblast-like (outflow tract & valve related)
cell_437	(5) Smooth muscle cells/ fibroblast-like
cell_438	(2) Fribroblast-like (AV mesenchyme related)
cell_439	(2) Fribroblast-like (AV mesenchyme related)
cell_440	(2) Fribroblast-like (AV mesenchyme related)
cell_441	(5) Smooth muscle cells/ fibroblast-like
cell_442	(2) Fribroblast-like (AV mesenchyme related)
cell_443	(5) Smooth muscle cells/ fibroblast-like
cell_445	(2) Fribroblast-like (AV mesenchyme related)
cell_446	(5) Smooth muscle cells/ fibroblast-like
cell_447	(5) Smooth muscle cells/ fibroblast-like
cell_448	(5) Smooth muscle cells/ fibroblast-like
cell_449	(5) Smooth muscle cells/ fibroblast-like
cell_450	(2) Fribroblast-like (AV mesenchyme related)
cell_451	(5) Smooth muscle cells/ fibroblast-like
cell_452	(5) Smooth muscle cells/ fibroblast-like
cell_453	(5) Smooth muscle cells/ fibroblast-like
cell_454	(5) Smooth muscle cells/ fibroblast-like
cell_455	(5) Smooth muscle cells/ fibroblast-like
cell_457	(3) Subepicardial cells
cell_458	(5) Smooth muscle cells/ fibroblast-like
cell_459	(3) Subepicardial cells
cell_461	(5) Smooth muscle cells/ fibroblast-like
cell_462	(2) Fribroblast-like (AV mesenchyme related)
cell_463	(2) Fribroblast-like (AV mesenchyme related)
cell_464	(5) Smooth muscle cells/ fibroblast-like
cell_465	(5) Smooth muscle cells/ fibroblast-like
cell_466	(4) Fribroblast-like (coronary & mediastinal vasculature related)
cell_467	(5) Smooth muscle cells/ fibroblast-like
cell_468	(5) Smooth muscle cells/ fibroblast-like
cell_470	(8) Fibroblast-like (outflow tract & valve related)
cell_471	(5) Smooth muscle cells/ fibroblast-like
cell_472	(2) Fribroblast-like (AV mesenchyme related)
cell_473	(2) Fribroblast-like (AV mesenchyme related)
cell_474	(4) Fribroblast-like (coronary & mediastinal vasculature related)
cell_475	(5) Smooth muscle cells/ fibroblast-like
cell_476	(3) Subepicardial cells
cell_477	(3) Subepicardial cells
cell_478	(5) Smooth muscle cells/ fibroblast-like
cell_479	(5) Smooth muscle cells/ fibroblast-like
cell_480	(3) Subepicardial cells
cell_481	(14) Cells related to cardiac neural crest
cell_482	(4) Fribroblast-like (coronary & mediastinal vasculature related)
cell_483	(4) Fribroblast-like (coronary & mediastinal vasculature related)
cell_484	(5) Smooth muscle cells/ fibroblast-like
cell_485	(5) Smooth muscle cells/ fibroblast-like
cell_486	(5) Smooth muscle cells/ fibroblast-like
cell_487	(5) Smooth muscle cells/ fibroblast-like
cell_488	(5) Smooth muscle cells/ fibroblast-like
cell_489	(5) Smooth muscle cells/ fibroblast-like
cell_490	(8) Fibroblast-like (outflow tract & valve related)
cell_491	(5) Smooth muscle cells/ fibroblast-like
cell_492	(4) Fribroblast-like (coronary & mediastinal vasculature related)
cell_493	(5) Smooth muscle cells/ fibroblast-like
cell_494	(2) Fribroblast-like (AV mesenchyme related)
cell_496	(2) Fribroblast-like (AV mesenchyme related)
cell_498	(8) Fibroblast-like (outflow tract & valve related)
cell_499	(8) Fibroblast-like (outflow tract & valve related)
cell_504	(2) Fribroblast-like (AV mesenchyme related)
cell_505	(2) Fribroblast-like (AV mesenchyme related)
cell_506	(2) Fribroblast-like (AV mesenchyme related)
cell_508	(2) Fribroblast-like (AV mesenchyme related)
cell_509	(5) Smooth muscle cells/ fibroblast-like
cell_510	(2) Fribroblast-like (AV mesenchyme related)
cell_511	(10) Endothelium/ pericytes/ adventia
cell_512	(4) Fribroblast-like (coronary & mediastinal vasculature related)
cell_513	(2) Fribroblast-like (AV mesenchyme related)
cell_515	(2) Fribroblast-like (AV mesenchyme related)
cell_517	(8) Fibroblast-like (outflow tract & valve related)
cell_518	(2) Fribroblast-like (AV mesenchyme related)
cell_519	(2) Fribroblast-like (AV mesenchyme related)
cell_520	(2) Fribroblast-like (AV mesenchyme related)
cell_521	(4) Fribroblast-like (coronary & mediastinal vasculature related)
cell_522	(8) Fibroblast-like (outflow tract & valve related)
cell_524	(5) Smooth muscle cells/ fibroblast-like
cell_525	(2) Fribroblast-like (AV mesenchyme related)
cell_526	(5) Smooth muscle cells/ fibroblast-like
cell_527	(0) Capillary endothelium
cell_528	(2) Fribroblast-like (AV mesenchyme related)
cell_529	(4) Fribroblast-like (coronary & mediastinal vasculature related)
cell_531	(2) Fribroblast-like (AV mesenchyme related)
cell_532	(0) Capillary endothelium
cell_533	(2) Fribroblast-like (AV mesenchyme related)
cell_534	(8) Fibroblast-like (outflow tract & valve related)
cell_536	(2) Fribroblast-like (AV mesenchyme related)
cell_537	(2) Fribroblast-like (AV mesenchyme related)
cell_540	(2) Fribroblast-like (AV mesenchyme related)
cell_541	(5) Smooth muscle cells/ fibroblast-like
cell_542	(8) Fibroblast-like (outflow tract & valve related)
cell_543	(5) Smooth muscle cells/ fibroblast-like
cell_544	(8) Fibroblast-like (outflow tract & valve related)
cell_547	(8) Fibroblast-like (outflow tract & valve related)
cell_549	(10) Endothelium/ pericytes/ adventia
cell_550	(5) Smooth muscle cells/ fibroblast-like
cell_551	(2) Fribroblast-like (AV mesenchyme related)
cell_552	(2) Fribroblast-like (AV mesenchyme related)
cell_553	(5) Smooth muscle cells/ fibroblast-like
cell_554	(4) Fribroblast-like (coronary & mediastinal vasculature related)
cell_555	(4) Fribroblast-like (coronary & mediastinal vasculature related)
cell_556	(5) Smooth muscle cells/ fibroblast-like
cell_557	(5) Smooth muscle cells/ fibroblast-like
cell_558	(2) Fribroblast-like (AV mesenchyme related)
cell_559	(8) Fibroblast-like (outflow tract & valve related)
cell_560	(2) Fribroblast-like (AV mesenchyme related)
cell_561	(2) Fribroblast-like (AV mesenchyme related)
cell_562	(2) Fribroblast-like (AV mesenchyme related)
cell_563	(5) Smooth muscle cells/ fibroblast-like
cell_564	(5) Smooth muscle cells/ fibroblast-like
cell_565	(8) Fibroblast-like (outflow tract & valve related)
cell_566	(5) Smooth muscle cells/ fibroblast-like
cell_567	(5) Smooth muscle cells/ fibroblast-like
cell_568	(5) Smooth muscle cells/ fibroblast-like
cell_569	(5) Smooth muscle cells/ fibroblast-like
cell_570	(5) Smooth muscle cells/ fibroblast-like
cell_571	(5) Smooth muscle cells/ fibroblast-like
cell_572	(2) Fribroblast-like (AV mesenchyme related)
cell_573	(5) Smooth muscle cells/ fibroblast-like
cell_575	(2) Fribroblast-like (AV mesenchyme related)
cell_576	(2) Fribroblast-like (AV mesenchyme related)
cell_577	(5) Smooth muscle cells/ fibroblast-like
cell_578	(5) Smooth muscle cells/ fibroblast-like
cell_579	(3) Subepicardial cells
cell_581	(2) Fribroblast-like (AV mesenchyme related)
cell_582	(3) Subepicardial cells
cell_583	(2) Fribroblast-like (AV mesenchyme related)
cell_584	(5) Smooth muscle cells/ fibroblast-like
cell_585	(2) Fribroblast-like (AV mesenchyme related)
cell_586	(5) Smooth muscle cells/ fibroblast-like
cell_587	(8) Fibroblast-like (outflow tract & valve related)
cell_588	(5) Smooth muscle cells/ fibroblast-like
cell_589	(5) Smooth muscle cells/ fibroblast-like
cell_590	(5) Smooth muscle cells/ fibroblast-like
cell_591	(5) Smooth muscle cells/ fibroblast-like
cell_592	(5) Smooth muscle cells/ fibroblast-like
cell_593	(5) Smooth muscle cells/ fibroblast-like
cell_594	(5) Smooth muscle cells/ fibroblast-like
cell_595	(5) Smooth muscle cells/ fibroblast-like
cell_596	(5) Smooth muscle cells/ fibroblast-like
cell_597	(5) Smooth muscle cells/ fibroblast-like
cell_598	(2) Fribroblast-like (AV mesenchyme related)
cell_599	(2) Fribroblast-like (AV mesenchyme related)
cell_600	(3) Subepicardial cells
cell_601	(14) Cells related to cardiac neural crest
cell_602	(5) Smooth muscle cells/ fibroblast-like
cell_604	(5) Smooth muscle cells/ fibroblast-like
cell_605	(5) Smooth muscle cells/ fibroblast-like
cell_606	(14) Cells related to cardiac neural crest
cell_607	(5) Smooth muscle cells/ fibroblast-like
cell_608	(5) Smooth muscle cells/ fibroblast-like
cell_609	(14) Cells related to cardiac neural crest
cell_610	(14) Cells related to cardiac neural crest
cell_611	(5) Smooth muscle cells/ fibroblast-like
cell_612	(5) Smooth muscle cells/ fibroblast-like
cell_613	(2) Fribroblast-like (AV mesenchyme related)
cell_614	(2) Fribroblast-like (AV mesenchyme related)
cell_615	(5) Smooth muscle cells/ fibroblast-like
cell_616	(5) Smooth muscle cells/ fibroblast-like
cell_617	(5) Smooth muscle cells/ fibroblast-like
cell_618	(5) Smooth muscle cells/ fibroblast-like
cell_619	(5) Smooth muscle cells/ fibroblast-like
cell_620	(5) Smooth muscle cells/ fibroblast-like
