spot	L2/3 IT CTX-1	L4/5 IT CTX	L5 IT CTX	L5 NP CTX	L5 PT CTX	L6 CT CTX	L6 IT CTX	L6b CTX	Lamp5	Sst	Vip
2800_46800	0	0	0	0	0	0	0	0	0	0	1
2800_47600	0	0	1	2	0	0	1	0	1	0	1
3600_25200	0	0	2	0	0	0	0	0	0	0	0
3600_26000	0	0	0	0	0	0	0	4	0	0	0
3600_26800	0	0	0	0	0	0	0	2	0	0	0
3600_27600	0	0	1	0	0	0	4	0	0	2	1
3600_28400	0	0	1	0	0	0	0	0	0	1	0
3600_30000	0	0	0	1	0	0	0	2	0	0	1
3600_31600	0	0	0	1	0	3	0	2	0	0	0
3600_32400	0	0	0	0	0	7	0	0	0	0	0
3600_33200	0	0	0	0	0	2	0	2	0	2	0
3600_34000	0	0	0	0	0	2	1	0	1	1	0
3600_34800	0	0	2	1	0	1	0	0	0	1	0
3600_35600	0	1	0	0	1	0	1	0	0	0	0
3600_36400	1	1	0	0	0	0	2	0	0	0	0
3600_37200	0	0	0	1	2	0	0	0	0	0	0
3600_38000	1	0	0	0	0	0	0	1	0	1	0
3600_38800	0	1	0	0	0	1	1	0	0	2	0
3600_39600	0	4	0	0	0	0	0	0	0	0	1
3600_40400	0	3	0	2	0	0	0	0	0	0	0
3600_41200	0	4	0	0	0	0	0	0	0	0	1
3600_42000	0	6	0	0	0	0	0	0	0	0	0
3600_42800	5	0	0	0	0	0	0	0	0	0	0
3600_43600	2	0	0	0	0	0	0	0	0	1	0
3600_44400	4	0	0	0	1	0	0	0	0	0	0
3600_45200	3	0	0	0	0	0	0	0	1	1	0
3600_46000	4	0	0	0	0	0	0	0	3	0	0
3600_46800	0	0	1	0	0	0	0	1	0	0	0
3600_47600	0	0	1	0	0	0	0	0	2	0	0
4400_25200	0	0	1	1	0	0	0	0	0	0	0
4400_26000	0	0	1	2	0	0	1	1	0	0	0
4400_27600	0	0	0	0	0	0	1	1	0	0	0
4400_28400	0	0	0	0	0	0	0	0	0	2	0
4400_29200	0	0	0	0	0	0	0	1	0	0	0
4400_30000	0	0	3	0	0	0	0	1	0	0	0
4400_30800	0	0	0	0	0	0	0	4	0	1	0
4400_31600	0	0	0	0	0	6	2	2	0	0	0
4400_32400	0	0	0	0	0	3	0	0	0	2	2
4400_33200	0	0	0	0	0	3	1	1	0	0	2
4400_34000	0	0	0	0	0	3	4	1	0	0	1
4400_34800	0	1	0	0	0	0	1	0	0	0	0
4400_35600	1	0	0	0	0	1	2	0	1	1	0
4400_36400	1	0	0	0	0	0	0	1	0	0	0
4400_37200	0	0	0	0	0	0	0	2	1	0	0
4400_38000	0	1	0	0	0	0	1	0	2	1	1
4400_38800	0	7	0	0	0	0	0	0	0	0	1
4400_39600	0	7	0	0	0	0	0	0	0	0	0
4400_40400	0	4	2	2	0	0	0	0	0	0	1
4400_41200	2	2	0	0	0	0	0	0	3	1	0
4400_42000	0	2	0	0	0	0	0	0	2	0	0
4400_42800	1	0	0	0	0	0	0	0	0	0	1
4400_43600	3	0	0	0	0	0	0	0	0	0	1
4400_44400	7	0	0	0	0	0	0	0	0	0	1
4400_45200	2	0	0	0	0	0	0	0	0	0	0
4400_46000	1	0	0	0	0	0	0	0	0	0	2
4400_46800	0	0	2	1	0	0	0	4	1	0	0
5200_23600	0	0	0	0	0	0	0	1	0	0	0
5200_24400	0	0	0	0	0	0	0	2	0	0	0
5200_25200	0	0	0	0	0	0	0	0	2	0	0
5200_26000	2	0	0	1	0	0	2	0	0	0	1
5200_26800	0	0	0	0	0	0	0	0	0	0	1
5200_29200	0	0	0	2	0	0	0	4	0	0	0
5200_30000	0	0	0	0	0	0	0	4	0	0	0
5200_30800	0	0	0	0	0	3	1	2	0	0	1
5200_31600	0	0	0	0	0	6	0	0	0	0	0
5200_32400	0	0	0	0	0	7	5	0	0	0	0
5200_33200	0	0	0	0	0	2	1	2	0	3	0
5200_34000	2	0	0	0	0	3	2	2	0	0	0
5200_34800	0	0	1	1	0	0	1	1	0	0	0
5200_35600	2	0	1	0	2	0	2	2	1	0	0
5200_36400	1	0	2	0	0	0	0	0	0	0	0
5200_37200	0	0	2	0	0	0	2	0	0	2	0
5200_38000	0	0	0	0	0	0	0	2	0	0	2
5200_38800	0	3	1	1	0	0	0	0	0	0	0
5200_39600	0	8	0	0	0	0	0	0	0	0	0
5200_40400	0	4	1	0	0	0	0	2	0	0	0
5200_41200	6	3	0	0	0	0	0	0	0	0	0
5200_42000	5	2	0	0	0	0	0	0	2	0	0
5200_42800	0	1	0	0	0	0	0	0	0	0	0
5200_43600	1	0	0	0	0	0	1	0	0	0	2
5200_44400	7	0	0	0	0	0	0	0	0	0	0
5200_45200	11	0	0	1	0	0	0	0	0	0	0
5200_46000	2	0	0	0	0	0	0	0	0	0	0
5200_46800	0	0	0	1	0	0	0	1	0	0	0
6000_23600	0	0	0	0	0	0	0	1	0	0	0
6000_25200	1	0	0	0	0	0	0	1	0	0	0
6000_26000	0	0	0	2	0	0	7	0	0	0	0
6000_26800	0	0	0	0	0	0	1	0	0	0	0
6000_29200	0	0	0	1	1	0	0	5	0	0	0
6000_30000	0	0	0	0	0	1	0	5	0	1	1
6000_30800	0	0	0	1	0	2	0	1	1	0	1
6000_31600	0	0	0	0	0	2	0	0	1	0	1
6000_32400	0	0	0	0	0	4	2	0	1	0	0
6000_33200	0	0	1	0	0	3	3	0	0	0	0
6000_34000	0	0	0	0	0	0	0	1	0	1	1
6000_34800	1	0	1	0	0	0	0	0	0	0	0
6000_35600	1	0	0	0	1	0	0	0	0	0	0
6000_36400	1	0	1	1	0	0	0	0	1	0	2
6000_37200	0	1	1	1	0	0	0	0	0	0	0
6000_38000	1	2	0	0	0	0	1	0	0	0	0
6000_38800	0	4	0	1	0	0	0	0	0	0	1
6000_39600	0	4	1	0	0	0	0	0	0	0	0
6000_40400	1	5	0	0	0	0	0	0	0	0	1
6000_41200	1	2	2	0	0	0	0	0	1	0	0
6000_42000	4	0	1	2	0	0	0	0	0	0	1
6000_42800	4	1	0	0	0	0	0	0	0	0	0
6000_43600	7	0	0	0	0	0	1	0	0	1	0
6000_44400	3	0	0	0	0	0	1	0	0	1	0
6000_45200	3	0	0	1	0	0	0	0	1	0	1
6000_46000	0	0	0	0	0	0	0	3	0	0	0
6000_46800	0	0	0	1	0	0	0	2	0	0	0
6800_23600	0	0	0	0	0	0	0	0	0	0	1
6800_25200	1	0	0	0	0	0	8	0	0	0	1
6800_26000	0	0	0	1	0	0	3	1	0	0	0
6800_26800	0	0	0	0	0	0	0	0	0	1	0
6800_27600	0	0	0	0	0	0	0	1	1	0	0
6800_28400	0	0	2	1	0	0	0	1	0	0	2
6800_29200	0	0	0	0	0	0	0	2	0	0	0
6800_30000	0	0	0	0	0	5	0	2	0	0	0
6800_30800	0	0	0	0	0	8	0	0	0	0	0
6800_31600	0	0	0	0	0	4	3	0	0	1	0
6800_32400	0	0	0	0	0	3	1	0	0	0	0
6800_33200	0	0	2	0	0	1	1	0	0	0	0
6800_34000	0	1	1	2	0	0	0	0	1	0	0
6800_34800	0	0	0	0	1	0	1	0	0	0	1
6800_35600	2	0	0	0	0	0	1	0	0	0	0
6800_36400	1	0	1	0	0	0	0	0	0	1	0
6800_37200	0	1	0	0	0	0	0	0	0	2	0
6800_38000	0	8	0	0	0	0	0	0	0	0	0
6800_38800	0	7	1	1	0	0	0	0	0	1	0
6800_39600	1	5	1	0	0	0	0	0	0	0	1
6800_40400	1	2	0	0	0	0	0	0	0	1	0
6800_41200	2	0	0	0	0	0	0	0	0	0	0
6800_42000	7	0	0	1	0	0	0	0	0	0	0
6800_42800	3	0	0	0	0	0	0	0	0	2	0
6800_43600	5	0	0	0	0	1	0	0	0	1	0
6800_44400	4	0	0	0	0	0	1	0	0	0	0
6800_45200	0	0	0	1	0	0	0	0	2	1	0
6800_46000	0	0	0	0	0	0	0	2	0	0	0
7600_22000	0	0	0	0	0	0	0	1	0	0	1
7600_23600	2	0	0	0	0	0	2	0	0	0	0
7600_24400	2	0	0	0	0	0	3	0	0	0	0
7600_25200	0	0	1	0	0	0	0	0	0	0	2
7600_26000	0	0	0	0	0	0	0	1	0	1	0
7600_27600	0	0	0	0	0	0	0	1	0	0	0
7600_28400	0	0	0	2	0	0	0	3	0	0	1
7600_29200	0	0	0	0	0	1	0	5	0	0	0
7600_30000	0	0	0	0	0	5	0	3	0	0	0
7600_30800	0	0	0	0	0	2	0	0	0	0	0
7600_31600	1	0	0	0	0	3	5	0	1	0	0
7600_32400	0	0	0	0	0	6	0	0	1	2	0
7600_33200	0	0	2	0	0	2	0	1	0	0	1
7600_34000	2	0	0	0	1	0	1	0	1	2	0
7600_34800	1	0	0	0	1	1	0	0	0	0	0
7600_35600	0	0	0	0	1	0	0	1	0	1	0
7600_36400	0	1	2	2	0	0	0	1	0	0	0
7600_37200	0	3	0	1	0	0	1	0	0	0	1
7600_38000	0	5	0	2	0	0	0	0	0	0	0
7600_38800	0	3	0	0	0	0	0	0	0	4	0
7600_39600	1	4	0	0	0	0	0	0	0	0	0
7600_40400	2	3	0	0	0	0	0	0	1	0	0
7600_41200	2	0	0	2	0	0	0	0	0	0	1
7600_42000	5	0	0	0	0	0	0	0	0	0	0
7600_42800	3	0	0	0	0	0	0	0	1	1	0
7600_43600	4	0	0	0	0	0	1	1	1	0	0
7600_44400	5	0	0	0	0	0	1	0	0	0	0
7600_45200	0	0	0	0	0	0	0	0	1	0	0
7600_46000	0	0	0	0	0	0	0	1	0	0	0
8400_22800	1	0	0	0	0	0	1	0	0	0	1
8400_23600	2	0	0	2	0	0	8	0	0	0	0
8400_24400	0	0	0	0	0	0	4	0	0	0	0
8400_26800	0	0	0	0	0	0	0	1	0	0	0
8400_27600	0	0	0	1	0	0	0	2	0	1	2
8400_28400	0	0	0	0	0	0	0	2	0	0	0
8400_29200	0	0	0	0	0	3	0	6	0	0	1
8400_30000	0	0	0	0	0	6	1	1	0	0	0
8400_30800	0	0	0	0	0	8	0	1	0	0	0
8400_31600	0	0	0	0	0	3	2	0	0	0	0
8400_32400	0	1	2	0	0	1	2	2	0	0	1
8400_33200	0	0	0	0	0	0	1	0	2	3	0
8400_34000	0	1	2	0	0	0	2	0	1	1	0
8400_34800	1	0	1	0	1	0	2	0	0	0	0
8400_35600	3	0	0	1	0	0	2	0	0	1	2
8400_36400	1	2	2	0	0	0	1	2	2	1	0
8400_37200	0	4	0	1	0	0	0	0	0	0	0
8400_38000	0	3	0	0	0	0	0	0	1	0	0
8400_38800	1	4	0	0	0	0	0	0	0	0	0
8400_39600	0	6	0	0	0	0	0	0	0	0	0
8400_40400	3	3	0	0	0	0	0	0	2	0	0
8400_41200	6	0	0	0	0	0	0	0	0	0	0
8400_42000	3	0	0	0	0	0	0	0	0	0	0
8400_42800	1	0	0	0	0	0	2	0	0	0	0
8400_43600	4	0	0	1	0	0	0	0	0	0	0
8400_44400	0	0	0	0	0	0	0	5	1	0	0
8400_45200	0	0	0	0	0	0	0	5	0	0	0
8400_46000	0	0	0	1	0	0	0	2	0	0	0
8400_46800	0	0	0	0	0	0	0	0	0	0	1
9200_21200	0	0	0	0	0	0	0	0	0	0	1
9200_22000	2	0	0	0	0	0	4	0	0	2	2
9200_22800	2	0	1	1	0	0	4	1	0	0	0
9200_23600	0	0	0	0	0	0	1	2	0	4	0
9200_24400	0	0	0	0	0	0	0	0	0	2	0
9200_26000	0	0	0	0	0	0	0	2	0	0	0
9200_26800	0	0	0	0	0	0	0	1	0	0	1
9200_27600	0	0	0	0	0	0	0	7	0	0	2
9200_28400	0	0	0	0	0	0	0	5	0	0	0
9200_29200	0	0	0	0	0	7	0	2	0	0	0
9200_30000	0	0	0	0	0	8	5	0	0	0	0
9200_30800	1	0	0	0	0	2	3	0	0	0	0
9200_31600	0	3	0	0	0	6	0	3	0	0	1
9200_32400	0	0	0	0	0	0	4	0	0	0	0
9200_33200	0	0	0	0	2	0	0	0	3	2	0
9200_34000	2	0	0	0	0	0	0	0	0	0	0
9200_34800	2	0	0	0	2	0	1	2	0	0	0
9200_35600	1	0	0	0	0	0	0	0	0	1	0
9200_36400	0	6	0	1	0	0	0	0	0	2	0
9200_37200	0	11	0	0	0	0	0	0	0	3	0
9200_38000	0	5	3	0	0	0	0	0	0	0	0
9200_38800	1	3	0	0	0	0	0	0	0	0	0
9200_39600	1	2	0	2	0	0	0	1	0	0	0
9200_40400	4	3	0	1	0	0	0	0	0	0	2
9200_41200	6	0	1	0	0	0	0	0	0	0	0
9200_42000	10	0	0	0	0	0	0	0	0	0	0
9200_42800	4	0	0	0	0	0	1	1	1	1	0
9200_43600	4	0	0	0	0	0	2	0	0	0	0
9200_44400	0	0	0	0	0	0	0	2	0	5	1
9200_45200	0	0	0	2	0	0	0	3	0	0	2
9200_46800	0	0	0	0	0	0	0	0	0	0	1
10000_21200	0	1	1	0	0	0	1	0	0	0	0
10000_22000	0	2	0	1	0	0	6	0	1	0	0
10000_22800	0	0	0	0	0	0	3	0	0	0	2
10000_25200	0	0	0	0	0	0	0	0	0	3	0
10000_26000	0	0	1	1	0	0	0	1	0	0	1
10000_26800	0	0	0	0	0	0	0	3	0	0	2
10000_27600	0	0	0	0	0	0	0	2	0	0	0
10000_28400	0	0	0	1	0	1	0	3	0	0	0
10000_29200	0	0	0	0	0	7	1	3	0	0	0
10000_30000	0	0	1	0	0	3	2	0	1	0	0
10000_30800	0	0	0	0	0	2	0	0	0	1	2
10000_31600	0	0	2	0	0	0	2	0	0	0	0
10000_32400	0	0	1	0	1	0	1	0	0	2	0
10000_33200	1	0	0	0	1	0	0	1	0	0	0
10000_34000	1	0	0	0	1	0	0	0	1	1	0
10000_34800	0	0	1	0	0	0	3	0	0	0	1
10000_35600	0	1	3	0	0	0	0	0	0	2	0
10000_36400	0	4	1	0	0	0	0	0	0	0	0
10000_37200	0	8	1	0	0	0	0	0	0	0	0
10000_38000	0	5	0	0	0	0	0	0	1	0	1
10000_38800	2	2	0	0	0	0	0	0	0	2	1
10000_39600	1	1	0	0	0	0	1	0	0	0	0
10000_40400	3	0	0	0	0	0	0	0	0	0	0
10000_41200	1	0	1	0	0	0	0	0	1	0	0
10000_42000	4	0	0	0	0	0	0	0	1	1	0
10000_42800	1	0	0	0	0	0	2	0	1	0	0
10000_43600	1	0	0	0	0	0	0	0	0	0	2
10000_44400	0	0	0	0	0	0	0	1	0	0	1
10000_45200	0	0	0	2	0	0	0	1	0	0	0
10000_47600	0	0	0	0	0	0	0	0	0	0	1
10800_20400	0	0	0	1	0	0	4	0	0	0	0
10800_21200	0	1	2	0	0	0	0	0	0	0	0
10800_22000	0	1	0	0	0	0	2	0	0	0	1
10800_22800	0	0	0	0	0	0	0	1	0	0	0
10800_24400	0	0	0	0	0	0	0	2	0	0	0
10800_25200	0	0	0	0	0	0	0	0	0	0	1
10800_26000	0	0	0	0	0	0	0	4	0	0	0
10800_26800	0	0	0	1	0	0	0	3	0	0	1
10800_27600	0	0	0	0	0	5	0	2	0	0	0
10800_28400	0	0	0	0	0	2	0	1	1	0	2
10800_29200	0	0	0	0	0	2	1	0	0	0	1
10800_30000	0	0	0	0	0	1	1	3	0	1	0
10800_30800	0	0	1	1	0	4	3	0	0	0	0
10800_31600	0	0	0	0	0	1	3	1	0	0	1
10800_32400	2	0	0	0	1	0	2	0	0	0	0
10800_33200	1	0	1	0	0	0	1	0	0	0	1
10800_34000	1	0	1	0	0	0	3	0	0	0	0
10800_34800	0	0	0	0	0	0	0	0	0	1	0
10800_35600	0	1	0	0	0	0	0	0	0	0	0
10800_36400	0	5	0	1	0	0	0	0	0	0	2
10800_37200	0	4	0	0	0	0	0	0	0	0	0
10800_38000	1	2	1	0	1	0	0	0	0	0	0
10800_38800	1	0	0	0	0	0	0	0	0	0	0
10800_39600	4	2	1	0	0	0	0	0	0	0	0
10800_40400	6	0	0	0	0	0	0	1	0	0	0
10800_41200	2	0	0	0	0	0	0	0	0	0	0
10800_42000	3	0	0	0	0	0	0	0	0	0	0
10800_42800	1	0	0	0	0	0	0	0	0	0	0
10800_43600	0	0	0	0	0	0	0	0	1	0	0
10800_44400	0	0	0	0	0	0	0	2	0	0	0
10800_47600	0	0	0	0	0	0	0	1	0	0	0
11600_20400	0	1	1	0	0	0	9	0	0	0	0
11600_21200	0	2	1	0	0	0	2	0	0	0	0
11600_22800	0	0	0	0	0	0	0	0	0	1	0
11600_24400	0	0	0	0	0	0	0	2	0	0	1
11600_25200	0	0	0	0	0	0	0	2	0	0	1
11600_26000	0	0	0	0	0	0	0	2	0	0	0
11600_26800	0	0	0	1	0	0	0	0	1	1	1
11600_27600	0	0	0	0	0	3	1	0	1	1	0
11600_28400	0	0	0	0	0	5	0	0	0	0	0
11600_29200	0	0	0	0	0	4	0	0	0	2	0
11600_30000	0	0	0	0	0	3	0	0	0	0	0
11600_30800	0	1	1	0	0	0	0	0	0	1	2
11600_31600	1	1	0	0	2	0	0	0	0	0	0
11600_32400	2	0	0	0	1	0	0	0	0	0	0
11600_33200	1	0	1	0	1	0	0	2	0	0	0
11600_34000	1	1	0	1	0	0	0	0	0	0	0
11600_34800	0	0	0	0	0	1	0	1	0	0	0
11600_35600	1	4	0	1	0	0	0	0	0	0	0
11600_36400	0	3	0	0	0	0	0	0	0	1	1
11600_37200	0	2	1	0	0	0	0	0	0	0	1
11600_38000	2	6	1	1	0	0	2	0	0	0	0
11600_38800	2	2	0	2	0	0	0	0	0	0	0
11600_39600	4	1	0	0	0	0	0	0	0	0	0
11600_40400	4	1	0	0	0	0	0	0	0	1	0
11600_41200	3	0	0	1	0	0	0	0	1	0	0
11600_42000	3	0	0	0	0	0	0	0	0	1	1
11600_42800	1	0	0	0	0	0	0	0	1	0	0
11600_43600	0	0	0	0	0	0	0	0	1	0	0
11600_44400	0	0	0	1	0	0	0	1	0	0	0
12400_20400	0	0	0	0	0	0	0	1	0	0	0
12400_22000	0	0	0	0	0	0	0	1	1	1	0
12400_22800	0	0	0	0	0	0	0	2	0	0	1
12400_24400	0	0	0	0	0	0	0	2	0	1	0
12400_25200	0	0	0	0	0	1	0	3	0	0	0
12400_26000	0	0	0	0	0	1	0	2	0	0	0
12400_26800	0	0	0	0	0	4	0	0	0	0	0
12400_27600	0	0	0	0	0	5	3	0	0	0	0
12400_28400	0	0	0	0	0	2	4	1	0	0	0
12400_29200	0	0	0	0	0	5	0	0	1	0	3
12400_30000	0	2	1	0	0	2	1	1	0	0	1
12400_30800	0	1	1	0	0	0	0	0	0	0	0
12400_31600	1	1	0	1	2	0	0	0	1	1	0
12400_32400	1	1	1	0	0	0	0	0	0	0	0
12400_33200	0	1	1	0	1	0	0	2	0	0	0
12400_34000	0	3	1	0	0	0	0	2	0	1	0
12400_34800	0	3	0	0	0	0	1	0	0	0	0
12400_35600	0	11	0	0	0	0	0	0	0	0	0
12400_36400	0	11	0	0	0	0	0	0	0	0	0
12400_37200	3	3	0	0	0	0	0	0	0	0	1
12400_38000	2	1	0	0	0	0	0	0	1	2	0
12400_38800	2	0	0	0	0	0	0	0	0	0	0
12400_39600	2	0	0	0	0	0	0	0	0	0	0
12400_40400	2	0	0	0	0	0	0	0	1	1	0
12400_41200	3	0	0	0	0	0	0	0	0	0	1
12400_42000	2	0	0	0	0	0	0	0	0	0	0
12400_42800	0	0	0	0	1	0	0	0	0	0	1
12400_43600	0	0	0	1	0	0	0	1	1	0	2
13200_20400	0	0	0	0	0	0	0	0	2	0	2
13200_21200	0	0	0	1	0	0	0	0	0	0	0
13200_22000	0	0	0	1	0	0	0	8	0	2	1
13200_22800	0	0	0	0	0	0	1	4	0	0	1
13200_23600	0	0	0	0	0	0	2	4	0	0	0
13200_24400	0	0	0	0	0	0	0	6	0	0	2
13200_25200	0	0	0	0	0	1	1	0	1	1	0
13200_26000	0	0	0	0	0	5	1	0	1	0	0
13200_26800	0	0	0	0	0	2	2	4	0	0	0
13200_27600	0	0	0	0	0	4	4	0	0	0	0
13200_28400	0	0	0	0	0	9	0	0	0	2	0
13200_29200	0	1	2	0	0	0	0	0	0	0	2
13200_30000	0	1	0	2	2	0	0	10	0	2	0
13200_30800	0	1	1	0	0	0	1	1	0	0	1
13200_31600	0	0	1	0	0	0	0	0	1	4	0
13200_32400	2	3	0	1	0	0	0	0	0	0	2
13200_33200	0	4	0	1	0	0	0	0	0	2	0
13200_34000	0	12	0	0	0	0	0	0	0	0	0
13200_34800	0	7	0	0	0	0	0	0	0	0	0
13200_35600	0	7	0	0	0	0	0	0	0	0	0
13200_36400	2	9	0	0	0	0	0	0	0	0	0
13200_37200	3	4	0	0	0	0	0	0	1	0	0
13200_38000	2	0	0	2	0	0	0	0	0	0	0
13200_38800	4	0	0	0	0	0	0	0	0	2	0
13200_39600	8	0	0	0	0	0	0	0	0	0	0
13200_40400	5	0	0	0	0	0	0	0	0	0	0
13200_41200	10	0	0	0	0	0	0	0	0	0	0
13200_42000	2	0	0	0	0	0	0	0	0	0	0
13200_42800	0	0	1	1	0	0	0	0	0	0	1
13200_43600	0	0	1	4	0	0	0	4	0	0	0
14000_20400	0	0	0	0	0	0	0	1	1	0	0
14000_21200	0	0	0	1	0	0	0	3	0	1	3
14000_22000	0	0	2	0	0	0	0	2	0	0	0
14000_22800	0	0	0	0	0	0	0	4	0	0	0
14000_23600	0	0	0	0	0	1	0	2	0	0	1
14000_24400	0	0	0	1	0	1	0	2	0	0	1
14000_25200	0	0	0	0	0	4	1	1	0	0	1
14000_26000	0	0	0	1	0	6	0	2	1	2	0
14000_26800	0	0	0	0	0	4	1	0	0	0	0
14000_27600	0	1	0	0	0	2	3	0	0	0	0
14000_28400	0	0	2	1	0	1	0	1	0	0	2
